model,endpoint,horizon,MAE,RMSE,sMAPE,n_predictions
Persistence,/identity,1,33.21818181818182,39.76270523081556,12.572512142176546,55
Persistence,/identity,6,66.47272727272727,78.25436380512882,25.560027957735628,55
Persistence,/identity,12,98.92727272727272,112.71065126726448,37.069403391505226,55
Persistence,/inventory,1,43.018181818181816,53.00566007512783,13.708402519904354,55
Persistence,/inventory,6,89.49090909090908,107.64436395329341,27.265487475146372,55
Persistence,/inventory,12,130.94545454545454,149.64260453129347,38.89183700886028,55
Persistence,/orders,1,65.43636363636364,78.75958816088824,14.613265191940345,55
Persistence,/orders,6,130.54545454545453,157.14880035986738,28.595099273916595,55
Persistence,/orders,12,197.14545454545456,226.0018905793811,40.86379283171584,55
Persistence,/payments,1,52.25454545454546,65.59711745329834,14.357939666819474,55
Persistence,/payments,6,129.07272727272726,154.04302822735778,29.525712269930267,55
Persistence,/payments,12,184.52727272727273,229.11255669727845,39.21570236553766,55
Persistence,/search,1,82.34545454545454,109.13003086393606,13.401237683713655,55
Persistence,/search,6,177.54545454545453,213.1503523977212,28.385336770215634,55
Persistence,/search,12,243.03636363636363,296.0800567414158,38.25933291826304,55
RF,/identity,1,30.590545454545452,37.71718262880388,11.951219485622092,55
RF,/identity,6,37.731272727272724,46.25639607861618,14.655631810628433,55
RF,/identity,12,39.72327272727273,47.985297445249735,15.382999717021164,55
RF,/inventory,1,41.82363636363637,51.66634103905208,12.751914629210745,55
RF,/inventory,6,54.555818181818175,69.77086142249043,16.37673690489182,55
RF,/inventory,12,58.42872727272727,71.40405605998991,17.675181255691378,55
RF,/orders,1,59.4970909090909,75.8109997056076,13.138289378343906,55
RF,/orders,6,83.74927272727273,103.89116748703029,17.96049183871898,55
RF,/orders,12,89.116,114.60102269891122,18.64556274916994,55
RF,/payments,1,78.31254545454546,107.28358146858854,17.138383515178575,55
RF,/payments,6,112.83054545454543,141.63038033108316,24.12833004736944,55
RF,/payments,12,140.66636363636366,182.05921545674988,29.23739318503687,55
RF,/search,1,80.25436363636364,113.16920768959599,12.740998869384775,55
RF,/search,6,93.84399999999998,120.09550063481676,15.205260783645317,55
RF,/search,12,95.66236363636364,124.76573681030456,15.893398762407482,55
SeasonalNaive,/identity,1,57.32727272727273,69.26011576920469,21.302970817749355,55
SeasonalNaive,/identity,6,54.21818181818182,65.87950433108229,21.100188781930665,55
SeasonalNaive,/identity,12,50.38181818181818,62.81126129488681,19.912343602469026,55
SeasonalNaive,/inventory,1,79.18181818181819,95.0348261524068,23.295987683454086,55
SeasonalNaive,/inventory,6,75.61818181818182,91.9196289255901,23.228113033712457,55
SeasonalNaive,/inventory,12,67.76363636363637,84.0859949424073,21.261750159736668,55
SeasonalNaive,/orders,1,120.14545454545454,146.82432297879603,25.469583305263733,55
SeasonalNaive,/orders,6,123.14545454545454,151.89583751553383,26.73603558684221,55
SeasonalNaive,/orders,12,109.25454545454545,139.99162312600902,24.291600542686723,55
SeasonalNaive,/payments,1,153.72727272727272,194.77572183971446,34.564535018108614,55
SeasonalNaive,/payments,6,165.6,210.99383877260493,37.047531726703056,55
SeasonalNaive,/payments,12,168.1090909090909,213.96541776651665,36.782385878713434,55
SeasonalNaive,/search,1,165.1090909090909,201.85697006453944,25.98855789394221,55
SeasonalNaive,/search,6,172.8,209.21672104216805,27.74086953274138,55
SeasonalNaive,/search,12,171.0909090909091,208.83939022390126,27.825382051320176,55
