detector,episode_id,split,scenario,primary_cause,endpoint,event_onset_time,event_end_time,first_alert_time,detected_by_event_end,early_warning,lead_time_hours
robust_latency_baseline,test-traffic_spike-200,test,traffic_spike,traffic_surge,/payments,2027-03-01 12:00:00+00:00,2027-03-02 11:00:00+00:00,,False,False,
robust_latency_baseline,test-traffic_spike-201,test,traffic_spike,traffic_surge,/orders,2027-03-08 12:00:00+00:00,2027-03-09 11:00:00+00:00,2027-03-08 01:00:00+00:00,True,True,11.0
robust_latency_baseline,test-traffic_spike-202,test,traffic_spike,traffic_surge,/inventory,2027-03-15 12:00:00+00:00,2027-03-16 11:00:00+00:00,,False,False,
robust_latency_baseline,test-traffic_spike-203,test,traffic_spike,traffic_surge,/payments,2027-03-22 12:00:00+00:00,2027-03-23 11:00:00+00:00,2027-03-22 01:00:00+00:00,True,True,11.0
robust_latency_baseline,test-traffic_spike-204,test,traffic_spike,traffic_surge,/orders,2027-03-29 12:00:00+00:00,2027-03-30 11:00:00+00:00,,False,False,
robust_latency_baseline,test-traffic_spike-205,test,traffic_spike,traffic_surge,/inventory,2027-04-05 12:00:00+00:00,2027-04-06 11:00:00+00:00,,False,False,
robust_latency_baseline,test-traffic_spike-206,test,traffic_spike,traffic_surge,/payments,2027-04-12 12:00:00+00:00,2027-04-13 11:00:00+00:00,2027-04-13 07:00:00+00:00,True,False,
robust_latency_baseline,test-traffic_spike-207,test,traffic_spike,traffic_surge,/orders,2027-04-19 12:00:00+00:00,2027-04-20 11:00:00+00:00,,False,False,
robust_latency_baseline,test-traffic_spike-208,test,traffic_spike,traffic_surge,/inventory,2027-04-26 12:00:00+00:00,2027-04-27 11:00:00+00:00,,False,False,
robust_latency_baseline,test-traffic_spike-209,test,traffic_spike,traffic_surge,/payments,2027-05-03 12:00:00+00:00,2027-05-04 11:00:00+00:00,2027-05-03 08:00:00+00:00,True,True,4.0
robust_latency_baseline,test-latency_increase-200,test,latency_increase,service_delay,/orders,2027-05-10 12:00:00+00:00,2027-05-11 11:00:00+00:00,2027-05-10 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-201,test,latency_increase,service_delay,/inventory,2027-05-17 12:00:00+00:00,2027-05-18 11:00:00+00:00,2027-05-17 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-202,test,latency_increase,service_delay,/payments,2027-05-24 12:00:00+00:00,2027-05-25 11:00:00+00:00,2027-05-24 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-203,test,latency_increase,service_delay,/orders,2027-05-31 12:00:00+00:00,2027-06-01 11:00:00+00:00,2027-05-31 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-204,test,latency_increase,service_delay,/inventory,2027-06-07 12:00:00+00:00,2027-06-08 11:00:00+00:00,2027-06-07 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-205,test,latency_increase,service_delay,/payments,2027-06-14 12:00:00+00:00,2027-06-15 11:00:00+00:00,2027-06-14 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-206,test,latency_increase,service_delay,/orders,2027-06-21 12:00:00+00:00,2027-06-22 11:00:00+00:00,2027-06-21 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-207,test,latency_increase,service_delay,/inventory,2027-06-28 12:00:00+00:00,2027-06-29 11:00:00+00:00,2027-06-28 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-208,test,latency_increase,service_delay,/payments,2027-07-05 12:00:00+00:00,2027-07-06 11:00:00+00:00,2027-07-05 12:00:00+00:00,True,False,
robust_latency_baseline,test-latency_increase-209,test,latency_increase,service_delay,/orders,2027-07-12 12:00:00+00:00,2027-07-13 11:00:00+00:00,2027-07-12 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-200,test,database_slowdown,database_slowdown,/inventory,2027-07-19 12:00:00+00:00,2027-07-20 11:00:00+00:00,2027-07-19 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-201,test,database_slowdown,database_slowdown,/payments,2027-07-26 12:00:00+00:00,2027-07-27 11:00:00+00:00,2027-07-26 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-202,test,database_slowdown,database_slowdown,/orders,2027-08-02 12:00:00+00:00,2027-08-03 11:00:00+00:00,2027-08-02 10:00:00+00:00,True,True,2.0
robust_latency_baseline,test-database_slowdown-203,test,database_slowdown,database_slowdown,/inventory,2027-08-09 12:00:00+00:00,2027-08-10 11:00:00+00:00,2027-08-09 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-204,test,database_slowdown,database_slowdown,/payments,2027-08-16 12:00:00+00:00,2027-08-17 11:00:00+00:00,2027-08-16 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-205,test,database_slowdown,database_slowdown,/orders,2027-08-23 12:00:00+00:00,2027-08-24 11:00:00+00:00,2027-08-23 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-206,test,database_slowdown,database_slowdown,/inventory,2027-08-30 12:00:00+00:00,2027-08-31 11:00:00+00:00,2027-08-30 12:00:00+00:00,True,False,
robust_latency_baseline,test-database_slowdown-207,test,database_slowdown,database_slowdown,/payments,2027-09-06 12:00:00+00:00,2027-09-07 11:00:00+00:00,2027-09-06 04:00:00+00:00,True,True,8.0
robust_latency_baseline,test-database_slowdown-208,test,database_slowdown,database_slowdown,/orders,2027-09-13 12:00:00+00:00,2027-09-14 11:00:00+00:00,2027-09-13 12:00:00+00:00,True,False,
