endpoint,horizon,Persistence,RF,RF_minus_Persistence_MAE,RF_percent_vs_Persistence,RF_wins
/identity,1,33.21818181818182,30.59054545454545,-2.6276363636363698,-7.910235358511239,True
/identity,6,66.47272727272727,37.73127272727272,-28.741454545454552,-43.237964989059094,True
/identity,12,98.92727272727272,39.72327272727273,-59.20399999999999,-59.84598419408197,True
/inventory,1,43.018181818181816,41.82363636363637,-1.1945454545454481,-2.7768385460693006,True
/inventory,6,89.49090909090908,54.555818181818175,-34.93509090909091,-39.037586347013416,True
/inventory,12,130.94545454545454,58.42872727272727,-72.51672727272727,-55.37933907247986,True
/orders,1,65.43636363636364,59.4970909090909,-5.939272727272737,-9.076410113920549,True
/orders,6,130.54545454545453,83.74927272727273,-46.79618181818181,-35.84665738161559,True
/orders,12,197.14545454545456,89.116,-108.02945454545456,-54.796827446278705,True
/payments,1,52.25454545454546,78.31254545454546,26.058,49.86743215031315,False
/payments,6,129.07272727272726,112.83054545454544,-16.24218181818182,-12.58374418932244,True
/payments,12,184.52727272727276,140.66636363636366,-43.860909090909104,-23.769336880480836,True
/search,1,82.34545454545454,80.25436363636364,-2.0910909090909087,-2.5394126738794434,True
/search,6,177.54545454545453,93.84399999999998,-83.70145454545455,-47.143676395289305,True
/search,12,243.03636363636363,95.66236363636364,-147.374,-60.63866237749682,True
